ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
1169340551,2,0,0,0,0,0,0,0,0,56,2012,3,26,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169348213,2,0,0,0,0,0,0,0,0,56,2012,2,23,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169358607,2,0,0,0,0,0,0,0,0,56,2011,12,14,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169413334,2,0,0,0,0,0,0,0,0,56,2011,12,16,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169423544,2,0,0,0,0,0,0,0,0,49,2012,3,30,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169461868,2,0,0,0,0,0,0,0,0,56,2012,3,13,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169489064,2,0,0,0,0,0,0,0,0,55,2012,2,9,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169542022,2,0,0,0,0,0,0,0,0,171,2012,3,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169556780,2,0,0,0,0,0,0,0,0,56,2012,2,25,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169789980,2,0,0,0,0,0,0,0,0,23,2012,2,13,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169807227,2,0,0,0,0,0,0,0,0,36,2012,3,17,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170045106,2,0,0,0,0,0,0,0,0,56,2011,12,14,12,58,2012,3,18,21,9,0,0,0,0,0,0,0,0,0,0
1170052487,2,0,0,0,0,0,0,0,0,117,2012,3,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170109249,2,0,0,0,0,0,0,0,0,56,2012,3,1,9,46,2012,3,7,20,14,0,0,0,0,0,0,0,0,0,0
1170326323,2,0,0,0,0,0,0,0,0,131,2012,3,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170364948,2,0,0,0,0,0,0,0,0,56,2012,1,26,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170365893,2,0,0,0,0,0,0,0,0,9,2012,3,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170387471,2,0,0,0,0,0,0,0,0,56,2012,1,6,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170412336,2,0,0,0,0,0,0,0,0,70,2012,4,14,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170427428,2,0,0,0,0,0,0,0,0,56,2012,3,1,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
